autor,titulo,texto
Augusto dos Anjos,Homem-célula,"Homem! célula ainda escravizada Nos turbilhões das lutas cognitivas, Egressa do arsenal de forças vivas Que chamamos – estática do Nada. Sob transformações consecutivas, Vem dessa Origem indeterminada, Onde se oculta a luz indecifrada Dos princípios das luzes coletivas. Vem através do Todo de elementos, Em sucessivos aperfeiçoamentos, Objetivando a personalidade, Até achar à perfeição profunda E indivisível, pura, e se confunda, No transcendentalismo da Unidade."
Augusto dos Anjos,Na imensidade,"Alma humana, alma humana, tu que dormes Entre os grandes colossos desconformes Da carne, essa voraz liberticida, Desse teu escafandro de albuminas, Em tua mesquinhez não imaginas A intensidade esplêndida da Vida! Inda não vês e eu vejo panoramas De luz em gigantescos amalgamas De sóis, nas regiões imensuráveis, Auscultando os espaços mais profundos Na sinfonia harmônica dos mundos, Singrando a luz de céus incomparáveis. Do teu laboratório de arterites, De gangliomas, úlceras, nevrites Ao lado de humaníssimas vaidades, Não podes perceber as ressonâncias, Quinta-essências de todas as substâncias Na fluidez das eletricidades. Aqui não há vertigens de nevróticos, Nem bisonhos aspectos de cloróticos Nas estradas de eternos otimismos! A vida imensa é coro de grandezas, Submersão nas fluídicas belezas, Envergando os etéreos organismos. Ante a minhalma fulgem ideogramas, Pensamentos radiosos como chamas, Combinações no mundo das imagens; São vibrações das almas evolvidas E que, concretizadas e reunidas, Formam luminosíssimas paisagens... Em pleno espaço – Imensidade de ânsias, Sem aritmologias das distâncias, Sem limites, sem número, sem fim. Deus e Pai, ó Artista Inimitável, Deixai meu ser esdrúxulo, execrável, No prolongado e edênico festim!"
Augusto dos Anjos,"“Alter ego”","Da morte estranha que devora as vidas, Eis-me longe dos rudes estertores, Sem guardar os micróbios homicidas De eternos atavismos destruidores. Tenho outro ser talhado pelas dores De minhas pobres células falidas, Que se putrefizeram consumidas Com os seus instintos atordoadores. Não sou o homúnculo da hominal espécie, Da terrígena raça que padece Das mais pungentes heteromorfias. Mas contérmino à carne, que me aterra, Envolvo-me nos fluidos maus da Terra, E sou o espectro das anomalias."
Augusto dos Anjos,Aos fracos da vontade,"Homem, levanta o véu do teu futuro, Troca o prazer sensualista e obscuro Pelo conhecimento da Verdade. Foge do escuro ergástulo do mundo E abandona o Desejo moribundo Pelo poder da tua divindade. Teu corpo é todo um orbe grande e vasto: Livra-o do mal unífero, nefasto, Com a espada resplendente da virtude; Que o sol da tua mente, eterno, esplenda, Dando a teu mundo a mágica oferenda Da alegria em divina plenitude. Deixa o conjunto de ancestralidades Da carne – o eterno símbolo do Hades – Onde o espírito clama, sofre e chora; Deixa que as tuas glândulas do pranto Te salvem do cadinho sacrossanto Da lágrima pungente e redentora. Mas, sobretudo, observa o pensamento, Fonte da força e altíssimo elemento, Em que toda molécula se cria: Da existência ele faz sepulcro abjeto Ou jardim luminoso e predileto, De arcangélicas flores de Harmonia. Ouve-te sempre a ronda do mistério, Mas faze de tua alma um grande império De beleza, de paz e de saúde: Que as tuas agregações moleculares Vivam livres de todos os pesares, Com os tônicos sagrados da Virtude. Tua vontade esclarecida e forte Triunfará das angústias e da morte Além dos planos tristes da matéria, Mas a tua vontade enfraquecida É a meretriz no báratro da vida, Amarrada no catre da miséria!"
Augusto dos Anjos,Ao Homem,"Tu não és força nêurica somente, Movimentando células de argila, Lama de sangue e cal que se aniquila Nos abismos do Nada eternamente; És mais, és muito mais, és a cintila Do Céu, a alma da luz resplandecente, Que um mistério implacável e inclemente Amortalhou na carne atra e intranqüila. Apesar das verdades fisiológicas, Reflexas das ações psicológicas, Nas células primevas da existência, És um ser imortal e responsável, Que tens a liberdade incontestável E as lições da verdade na consciência."
Augusto dos Anjos,Matéria cósmica,"Glória à matéria cósmica, a energia Potencial que dá vida aos elementos, Base de portentosos movimentos Onde a forma se acaba e principia. Sistematização dos argumentos Que elucidam a Teleologia: Dentro da força cósmica se cria A fonte-máter dos conhecimentos. É do mundo o Od ignoto, o éter divino, Onde Deus grava a história do destino Dos seus feitos de Amor no Amor imersos. Livro onde o Criador Inimitável Grava, com o pensamento almo e insondável, Seus poemas de seres e universos."
Augusto dos Anjos,Raça adâmica,"A Civilização traz o gravame Da origem remotíssima dos Arias, Estirpe das escórias planetárias, Segregadas num mundo amargo e infame. Árvore genealógica de párias, Faz-se mister que o cárcere a conclame, Para a reparação e para o exame Dos seus crimes nas quedas milenárias. Foi essa raça podre de miséria Que fez nascer na carne deletéria A esperança nos Céus inesquecidos; Glorificando o instinto e a inteligência, Fez da Terra o brilhante gral da Ciência, Mas um mundo de deuses decaídos."
Augusto dos Anjos,A subconsciência,"Há, sim, a inconsciência prodigiosa Que guarda pequeninas ocorrências De todas as vividas existências Do Espírito que sofre, luta e goza. Ela é a registradora misteriosa Do subjetivismo das essências, Consciência de todas as consciências, Fora de toda a sensação nervosa. Câmara da memória independente Arquiva tudo rigorosamente Sem massas cerebrais organizadas, Que o neurônio oblitera por momentos, Mas que é o conjunto dos conhecimentos Das nossas vidas estratificadas."
Augusto dos Anjos,Espírito,"Busca a Ciência o Ser pelos ossuários, No órgão morto, impassível, atro e mudo; No labor anatômico, no estudo Do germe, em seus impulsos embrionários; Mas só encontra os vermes-funcionários No seu trabalho infame, horrendo e rudo, De consumir as podridões de tudo, Nos seus medonhos ágapes mortuários. No meio triste de cadaverinas Acha-se apenas ruína sobre ruínas, Como o bolor e o mofo sob as heras; A alma que é Vibração, Vida e Essência, Está nas luzes da sobrevivência, No transcendentalismo das esferas."
Augusto dos Anjos,Vida e morte,"A morte é como um fato resultante Das ações de um fenômeno vulgar, Desorganização molecular, Fim das forças do plasma agonizante. Mas a vida a si mesma se garante Na sua eternidade singular, E em sua transcendência vai buscar A luz do espaço, fúlgida e distante! Vida e Morte – fenômenos divinos, Na ascendência de todos os destinos, Do portentoso amor de Deus oriundos... Vida e Morte – presente eterno da ânsia, Ou condição diversa da substância, Que manifesta o espírito nos mundos."
Augusto dos Anjos,Nos véus da carne,"Na ilusão material da carne espúria, Sob o acervo das células taradas, Choram de dor as almas condenadas Ao cárcere de lágrima e penúria. Entre as sombras das míseras estradas, Vê-se a guerra da inveja e da luxúria, Esfacelando com medonha fúria O coração das almas bem formadas. É nesse turbilhão de dor e de ânsia Que o homem procura a eterna substância Da verdade suprema, alta, imortal. Deixando corpos pelos cemitérios, A alma decifra o livro dos mistérios De luz e amor da vida universal."
Augusto dos Anjos,Homem da Terra,"Na sombra abjeta e espessa das estradas, Vive o homem da Terra adormecido, No horrendo pesadelo de um vencido Entre milhões de células cansadas. Prantos sinistros! Loucas gargalhadas, Pavorosos esgares de gemido, E lá vai o fantasma embrutecido Pelas sombras de lôbregas jornadas. Homem da Terra! trágico segredo De miséria, de horror, de ânsia e de medo, Feito à noite de enigma profundo!... Anjo da Sombra, mísero e perverso, És o sentenciado do Universo Na grade organogênica do mundo."
Augusto dos Anjos,Nas sombras,"Bombardeios. Canhões. Trevas. Muralhas. E rasteja o dragão horrendo e informe, Espalhando a miséria e o luto enorme Em miserabilíssimas batalhas. Visões apocalípticas do mal, Desenhadas por corvos vagabundos, Gritam a dor de povos moribundos Na sinistra hecatombe universal. A civilização do desconforto, De mentira e veneno cerebrais, Vai carpindo nos tristes funerais Do seu fausto de sombra, amargo e morto. Quadros de sangue, lágrimas e horrores Avassalam de dor o mundo inteiro, É o triunfo terrível do coveiro, Ossuários tremendos sob as flores. Enquanto a desventura chora inerme, O homem, filosófico ou sem nome, Morre de frio e fel, de sede e fome, Nas vitórias fantásticas do verme. Ai de vós nos abismos da aflição, Sem o raio de luz da crença amiga: Desventurado aquele que prossiga Sem o Cristo de Amor no coração."
Augusto dos Anjos,Confissão,"Também eu, mísero espectro das dores No escafandro das células cativas, Não encontrei a luz das forças vivas, Apesar de ingentíssimos labores. Bem distante, das causas positivas, Na visão dos micróbios destruidores Senti somente angústias e estertores, No turbilhão das sombras negativas. Foi preciso “morrer” no campo inglório, Para encontrar esse laboratório De beleza, verdade e transformismo! A Ciência sincera é grande e augusta, Mas só a Fé, na estrada eterna e justa, Tem a chave do Céu, vencendo o abismo!..."
Augusto dos Anjos,Homem-verme,"Desolação. Terror e morticínio. O homem sôfrego e bruto, de ânsia em ânsia, Sofre agora a sinistra ressonância De sua inclinação para o extermínio. É o doloroso e trágico domínio Do “homo homini lupus” da ignorância, Exaltando a vaidade sem substância, Ídolo podre sobre o esterquilínio. Por toda a parte, escorre o sangue horrível, Ao crepitar de rúbidos incêndios, Sobre a idéia cristã medrando em germe. Em quase tudo, o pântano terrível, De lodo e lama, em sombra e vilipêndios, Atestando as vitórias do homem-verme!"
Augusto dos Anjos,Gratidão a Leopoldina,"Sem o vulcão de dor de hórridas lavas, Beija, Augusto, este solo generoso, Que te guardou no seio carinhoso O escafandro das células escravas. Aqui, buscaste o campo de repouso, Depois das vagas ríspidas e bravas No mundo áspero e vão, que detestavas, E onde sorveste o cálice amargoso. Volta, Augusto, do pó que envolve as tumbas, Proclama a vida além das catacumbas, Nas maravilhas de seus resplendores. Ajoelha-te e lembra o último abrigo, Esquece o travo do tormento antigo E oscula a destra de teus benfeitores."
Augusto dos Anjos,Civilização em ruínas,"Todo o mundo moderno horrendo, em ruínas, Deixa agora escapar o horrendo fruto De miséria e de dor, de pranto e luto, Feito de sânie e de cadaverinas. Em vão, sobre o Calvário áspero e bruto, Sangrou Jesus em lágrimas divinas, Sob as ofensas torpes e tigrinas A tentarem-lhe o espírito incorruto. Saturada de treva, angústia e pena, A Civilização que se condena Suicida-se num báratro profundo... Porque na luz dos círculos da Terra, Nos turbilhões fatídicos da guerra, Ainda é Caim que impera sobre o mundo."
Augusto dos Anjos,A Lei,"Em reflexões misérrimas, absorto, Raciocinava: – “O último tormento É regressar à carne e ao sofrimento Sem o triste fenômeno do aborto! ... Toda a amargura d'alma é o desconforto De retornar ao corpo famulento, E apagar toda a luz do pensamento Nas células de um mundo amargo e morto!...“ Mas, uma voz da luz dos grandes mundos, Em conceitos sublimes e profundos, Respondeu-lhe em acentos colossais: – “Verme que volves dos esterquilínios, Cessa a miséria de teus raciocínios, Não insultes as leis universais.”"
Augusto dos Anjos,A um observador materialista,"Busca o talão dos velhos calendários. Desde o instante infeliz de Adão e Eva, Encontrarás teus gritos solitários, Enfrentando o pavor da mesma treva. Sempre a dúvida estranha que se ceva De terríveis problemas multifários, O mistério da célula primeva, Os impulsos dos sonhos embrionários. Pára, amigo... Não sigas na consulta: O detalhe anatômico te insulta, A molécula morta desafia. Se não tens coração que aceite a crença, Espera a mão da morte excelsa, e pensa, Que a carne volve ao pó, exangue e fria."
Augusto dos Anjos,Ante o Calvário,"Da terra do Calvário ardente e adusta, Entre prantos pungentes, o Cordeiro Da Verdade e da Luz do mundo inteiro Vive o martírio de sua alma augusta. Sobre a cruz infamérrima se ajusta A crueldade do espírito rasteiro Do homem, que é sempre o tigre carniceiro, Enquanto grita a turba ignara e injusta. Depois de vinte séculos ingratos, Multiplicando Herodes e Pilatos, Correm de novo as lágrimas divinas; Pois, embora o Direito, o Livro e a Toga, A Humanidade triste inda se afoga No sangue escuro das carnificinas."
Augusto dos Anjos,Atualidade,"Torna Caim ao fausto do proscênio. A Civilização regressa à taba. A força primitiva menoscaba A evolução onímoda do Gênio. Trevas. Canhões. Apaga-se o milênio. A construção dos séculos desaba. Ressurge o crânio do morubixaba Na cultura da bomba de hidrogênio. Mas, acima do império amargo e exangue Do homem perdido em pântanos de sangue, Novo sol banha o pélago profundo. É Jesus que, através da tempestade, Traz ao berço da Nova Humanidade A consciência cósmica do mundo."
Olavo Bilac,Jesus ou Barrabás?,"Sobre a fronte da turba há um sussurro abafado. A multidão inteira, ansiosa se congrega, Surda à lição do amor, implacável e cega, Para a consumação dos festins do pecado. “Crucificai-o!” – exclama... Um lamento lhe chega Da Terra que soluça e do Céu desprezado. “Jesus ou Barrabás?” – pergunta, inquire o brado Da justiça sem Deus, que trêmula se entrega. Jesus! Jesus!... Jesus!... – e a resposta perpassa Como um sopro cruel do Aquilão da desgraça, Sem que o Anjo da Paz amaldiçoe ou gema... E debaixo do apodo e ensangüentada a face, Toma da cruz da dor para que a dor ficasse Como a glória da vida e a vitória suprema."
Olavo Bilac,Soneto,"Por tanto tempo andei faminto e errante, Que os prazeres da vida converti-os Em poemas das formas, em sombrios Pesadelos da carne palpitante. No derradeiro sono, instante a instante, Vi fanarem-se anseios como fios De ilusão transformada em sopros frios, Sobre o meu peito em febre, vacilante. Morte, no teu portal a alma tateia, Espia, inquire, sonda e chora, cheia De incerteza na esfinge que tu plasmas!. Impassível, descerras aos aflitos Uma visão de mundos infinitos E uma ronda infinita de fantasmas."
Olavo Bilac,No Horto,"Tristemente, Jesus fitando os céus, em prece, Vê descer da amplidão o Arcanjo da Agonia, Cuja mão luminosa e terna lhe trazia O cálix do amargor, duríssimo e refece. – “Se puderdes, meu Pai, afastai-o!...” – dizia, Mas eis que todo o Azul celígeno estremece; E do céu se desprende uma doirada messe De bênçãos aurorais, de Paz e de Alegria. Paira em todo o recanto a vibração sonora Do Amor e o Mestre já na sede que o devora, De imolar-se por fim nas aras desse Amor, Sente a Mão Paternal que o guia na amargura, E sublime na fé mais vivida, murmura: – “Que se cumpra no mundo o arbítrio do Senhor!...”"
Olavo Bilac,O beijo de Judas,"Ouve-se a voz do Mestre ungida de ternura: - “Amados, eu vos dou meus últimos ensinos; Na doce mansidão dos seres pequeninos, Trazei a vossa vida imaculada e pura! O Amor há de vos dar todos os dons divinos; Eterna irradiação que atinge a mais escura Estrada de aflição, de dor e desventura, – Raio de eterno sol na senda dos destinos. Derramai com piedade a lágrima terrestre!” Mas eis que Judas chega e lhe diz: – “Salve, Mestre!” E toma-lhe das mãos, osculando-lhe a fronte... E Jesus abençoando aquelas almas cegas, Responde humildemente: – “É assim que tu me entregas?” Vendo as coortes do Céu nas fímbrias do horizonte..."
Olavo Bilac,A crucificação,"Fita o Mestre, da cruz, a multidão fremente, A negra multidão de seres que ainda ama. Sobre tudo se estende o raio dessa chama, Que lhe mana da luz do olhar clarividente. Gritos e altercações! Jesus, amargamente, Contempla a vastidão celeste que o reclama; Sob os gládios da dor aspérrima, derrama As lágrimas de fel do pranto mais ardente. Soluça no silêncio. Alma doce e submissa, E em vez de suplicar a Deus para a injustiça O fogo destruidor em tormentos que arrasem, Lança os marcos da luz na noite primitiva, E clama para os Céus em prece compassiva: “– Perdoai-lhes, meu Pai, não sabem o que fazem!.. .“"
Olavo Bilac,Aos descrentes,"Vós, que seguis a turba desvairada, As hostes dos descrentes e dos loucos, Que de olhos cegos e de ouvidos moucos Estão longe da senda iluminada, Retrocedei dos vossos mundos ocos, Começai outra vida em nova estrada, Sem a idéia falas do grande Nada, Que entorpece, envenena e mata aos poucos. Ó ateus como eu fui – na sombra imensa Erguei de novo o eterno altar da crença, Da fé viva, sem cárcere mesquinho! Banhai-vos na divina claridade Que promana das luzes da Verdade, Sol eterno na glória do caminho!"
